address,lp_balance,mpx_balance
0x131fBae075CA53Bd5a60075D08314E684CcA2543,52633195548689999855616,84143426391817809035264
0x185269516c6a37af244B94bE962C9B33A3Cbd52B,3034100916271189590016,4850544308628170473472
0x19145B49fd5e4c345822a4a83Fe5543C5BBB785c,415131275931074363392,663660406614189801472
0x24B94c794a47A5DDddACD8d4408D4D22361f62a8,260718762752517799936,416804828092530819072
0x28aa4F9ffe21365473B64C161b566C3CdeAD0108,83981546711214196785152,134259282954404252090368
0x2B7645122c1E6821F919d57038bcA4260D3ADe77,9137532239753586409472,14607953467452055093248
0x3214e141bdAe08Be1f382A885cf3d2a448A5E780,749015652569655541760,1197433345463722967040
0x39bbE14F5fBb3276d06760C95a071ebaB6529192,284303546536733442048,454509255832971968512
0x3E590FBB993Bf1e97F04fE615c64BFa37dD84999,77077221401316785389568,123221503803011341746176
0x3c7Ac2fF76A1B4dCb2B69b1121fEF5fB8dCDEc43,149786169633058914304,239459554139598946304
0x4FfD0A59a26cB2Aa76D403215e4cC2845C053994,327439089931978997760,523469013695122964480
0x4db24E856f34485BD5ae33E3885cD2e78F6Ad252,2753423837132838404096,4401832599180460687360
0x5275817b74021E97c980E95EdE6bbAc0D0d6f3a2,12209142238142728765440,19518462645347891019776
0x5435F60E625560E899f6D5829ceDa7C40224de86,359084404717081657344,574059618873235931136
0x54BA3FF9dDbD2dEE95CDA54e863b07B0cdAD2eE4,362905934239440633856,580169006394107691008
0x609470c2f08FF626078bA64Ceb905d73b155089d,3355382458620098641920,5364169398799195701248
0x6D1E0084a6910a8803ab7c22483A1a2Db3F1001a,67533366390092554240,107963971873599242240
0x6a5334E6c9352C1b5735969DD439e41BCF9b4dA4,2539972789855779291136,4060593533271975395328
0x6b6cA48DA27304eeEb1D15d355D948f68b852733,3640791028870065684480,5820445229519107784704
0x771eB322E757Bbd8b5f480983975629DcfDc0720,3616610385696643350528,5781788215675297202176
0x7E6949e70627f746F87577BBbb3BB03f89C23B4f,2849695125578793877504,4555739197260830343168
0x865FCDA847083C81E9c3FdF0e4612E13bf5086dc,6467005293298586746880,10338646137659971338240
0x9531cd30cF15cA2e6fC6A230d42D355c968a5e18,557445478325424619520,891174706075669364736
0x9CBC291a5cb169c1E832Cdd09D6d589597eB8270,264443315598738358272,422759181328949444608
0x9aCf8D0315094d33Aa6875B673EB126483C3A2c0,52682979593915409104896,84223014949974733488128
0xA719DB5B3B6AC2a7d077c5f5286f865CA7B2E248,341783964130144485376,546401819761906941952
0xADDADf3Df10bebFFf7201427d50Cc0448e2E6F3a,2432903003197876994048,3889423635291857485824
0xB4C93d0A04D4B7966776cC2A0Ba31b2C9Bd40d18,381598659750245629952,610052617994810163200
0xC9068afe4a4D9AEbBdDd64Cf69062Cb87dD8DcB1,320198491292342681600,511893642442899980288
0xD9e2A3b80A30CB48eef4DCb4Aa8b583182a16b4B,6918522448130552627200,11060475775518471356416
0xD9ff18Bf57a664e7F8447E4EB77aa8D5f3245b54,2251261626757952307200,3599037926636900581376
0xE9db81A85fDc1f28239bdcA8D3054ad39F44A8D5,2747417758639155838976,4392230825653919809536
0xF17ac82CB2c92853100f150591973857B1b48D7F,1988012058565431263232,3178187160633266929664
0xFC9e0e4F0359e0972C02b840B9c36E129f82ab25,3103479869730074918912,4961458776249819201536
0xa13c2DEF62c36697407fBe7d574e946bf60d7350,577998324617423618048,924032048121590579200
0xa3cC2d84296bb93234E1E3929aC66cd9a62573c3,1200271942952414347264,1918845945588692549632
0xa41449434688A52cB604BB30B3588838C71Ad795,222914705551483863040,356368389239704190976
0xa4F3693BfD5aFb6f02571eeceE96b731a10b927a,5594329289089699807232,8943519956196648812544
0xa89fB3fdDa863aaB28A11DB679eAc0c500595B96,313258188589848985600,500798347097513263104
0xaA970e6bD6E187492f8327e514c9E8c36c81f11E,5860387960569778405376,9368861568200407515136
0xad036a7E58dfa18A6511E85D29B0341E16bcBD9b,1420212484867953000448,2270459610811177107456
0xb06620E620d16B65627568DA15558f2b48bD03eb,1267297282513400758272,2025997747164548694016
0xbEE2D469AACB46251aE33Cca91F482e26c971dFF,25416447092211281920,40632663906309996544
0xd4AA27c5080bA5C80d35D70dbef8D07733916002,15921084661138733400064,25452655900839936786432
0xe0Ba6c4c82376c76386D1Ca2ae2516Ab18882e3C,1811455951007010783232,2895931149279657197568
0xe17A3d8399ebc55CC9C6b5719687B70D5fbf44a4,20188417830955761270784,32274739012470399041536
0xe74fB0d80437CF0b34B5da67f811C0Cdde74B89F,960903054746817921024,1536172649482502275072
0xe7b87150991634D6b8FdB2DEa037436764680984,10053181065473994784768,16071779267207759921152
0xf26bB15d228D06678fd884C02EB201E36B340504,15079311952938646110208,24106934076947407306752
0xfFE3385962b6Bf54860F06dd35d5db3504bD1286,1482390981409113112576,2369862880787917963264
